mirna,P35,P88,P129,P167,P190,P276,P303,P337,P385,P391,P444,P449,P452,P465,P489,P491,P504,P507,P517,P520,P524,P531,P536,P540,P546,P551,P554,P587,P597,P606,P627,P638,P676,P680,P694,P727,P737,A158,A189,A223,A233,A254,A308,A319,A336,A346,A350,A426,A512,A534,A557,A607,A618,A640,A642,A649,A655,A686,A695,A700,A717,A721,A724,A734,A747,A755,A758,A766,A781,A790
hsa-miR-101-5p,29.7828811868112,3.57659154990485,1.58380153108863,1.44937106813279,0.797041678806714,0.906466489307754,0,3.49181575622381,0,0,2.20911428943303,3.7148005012877,3.24146172392983,1.4337099598357,6.37889456271344,1.62622263103804,0,4.38347412619899,2.30506376270014,4.09742121121348,0,0,9.30636059397373,0,1.35336883054716,0,2.08383930789238,4.46066419868916,6.1997770955551,5.42582577769909,4.04062130871819,2.90335550076088,0,10.0462008743173,5.30860246999784,0,10.8925006009231,1.01364071318288,6.24230669979293,0,0,1.1772620032734,0,0,3.61437974350378,0,0,1.88254295259538,3.46158302588592,4.45140972942432,1.74900415753576,4.37844496819403,7.32711539829878,10.7383766226042,8.87903226196409,20.8823361898354,5.76160857790351,0,3.91083717505999,4.69641876069248,0,0,3.08997549184386,1.78697837663656,0,4.20540718830392,0,2.89646314437314,0,2.34480277543972
hsa-miR-301b-5p,0,0.376483321042616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35336883054716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3160-5p,0,0,0,0,0,0,0,0,0,0,0.110455714471651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-103a-3p,2695.35074740641,3000.94855203069,3007.90307445915,2470.45298563234,1755.08577673238,3252.40176363622,3765.66831338987,2688.69813229234,2591.21189086236,1069.36195568315,1269.46752642269,1829.83252060798,1900.30693565386,1375.88365812233,2162.44525675986,1983.99160986641,1742.27821892245,1073.95116091875,1932.10444589526,1870.57034056684,1397.80803761478,1582.88259530466,6247.67007875437,1981.5336284509,1599.68195770674,1917.10447966143,2857.63830422309,1740.39029391479,2756.61667911839,4274.46554767135,3448.67028699097,8295.61250454904,3971.7190592796,5115.52548520236,2752.09128049888,983.602917669093,2734.01765083169,2007.41406838737,3705.66024996798,2413.3559748118,1982.1060629693,2291.54048937167,4500.76879653425,5944.87763397042,2264.40890930512,2497.49224057928,2155.69162121422,2796.83131323921,3236.58012920334,3167.1780224854,2601.93518502737,2848.54332222423,3709.11324271273,3225.49016330814,3692.78951775087,3278.52678180416,1855.23796208493,5595.40330605868,3196.02304695181,4555.52619787171,5995.59085424272,2351.91057656308,5273.04317683155,3264.809494115,3851.43003871612,4127.6071553203,6697.62878583449,3341.07023703441,6841.6510049011,3024.79558031724
hsa-miR-153-3p,0,0,0.527933843696209,0,0.797041678806714,0,0,0,0,0,0.441822857886606,1.56412652685798,0,0,0,0,0,0,0,0,0,0.489299102103449,0,0,0,0,0,0,0,0,0,0,0,1.33949344990897,0,0,0,0,0,0,0,0,0,0,2.71078480762784,0,0,0,0,0,0.583001385845254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34480277543972
hsa-miR-4712-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84371857475197,0,0,0,0,0,0,0.0731256426014616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-148a-3p,372.286014835139,859.699663600814,717.726060504997,352.197169556268,421.635048088751,498.556569119265,635.652530799635,377.116101672172,588.275131979564,1815.21945418484,1487.28619536079,1078.26972445272,746.346561934843,1417.93915027751,947.265842562946,902.011486015766,1040.84153338224,2239.95527848768,1503.36258603303,1044.84240885944,1496.2452233623,1895.54472154876,923.190970922194,705.247028452643,849.915625583615,1069.30130339681,511.235243536264,2088.02959884213,2007.09625867155,872.472785054014,701.047797062605,1558.3760650334,458.064283770507,1099.05437565031,1090.96437427289,393.441167067637,1216.32923376974,582.437953794882,246.854855855448,862.839636155831,708.448065475354,1564.38499201647,1183.94607751196,1653.15403984858,687.635746201594,1184.1216634374,905.784300170916,985.197478524917,666.931662987354,600.940313472283,1995.90524444123,1409.85927975848,1483.58158303815,1106.05279212823,470.588709884097,584.705413315392,1142.07885588665,535.712125648022,858.646028657617,774.909095514259,441.39319172339,944.619821734352,651.984828779055,1143.6661610474,1155.19681125077,466.800197901735,601.045244689089,569.155007869321,277.130167287133,1130.19493776194
hsa-miR-552-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292502570405846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-30c-1-3p,59.5657623736223,15.8122994837899,13.7262799361014,12.3196540791287,6.37633343045371,2.71939946792326,0,3.49181575622381,14.0065507614182,0,7.5109885840723,5.47444284400293,2.43109629294737,21.0277460775902,6.37889456271344,7.04696473449817,33.9404847842036,0,10.1422805558806,12.4873789294125,39.3748742990079,10.7645802462759,2.481696158393,9.64890213057099,18.9471636276602,11.4567996792516,34.7306551315397,14.8445054480967,10.4417298451454,2.17033031107964,10.7749901565818,5.08087212633155,3.65719987042321,5.35797379963588,3.16653480666538,0,3.63083353364103,9.93367898919221,10.7821661178241,0,20.6469381559302,19.62103338789,4.43425497195492,13.8790917524601,4.51797467937972,2.52017380482269,8.43898416308306,34.5132874642487,14.2309524397532,8.90281945884863,21.5710512762744,4.37844496819403,5.09712375533828,5.96576479033566,0,0,3.20089365439084,0,13.0361239168667,0,0,19.277955545599,3.08997549184386,3.57395675327313,3.09600485427341,0,11.2344905549362,14.4823157218657,17.3206354554458,0
hsa-miR-144-5p,89.3486435604335,72.6612809612249,24.2849568100256,25.3639936923238,51.0106674436297,134.157040417548,86.8443685342955,94.2790254180429,32.6819517766424,44.9311746085356,364.172490613035,286.626186046725,687.189885473124,166.788258660886,714.436191023905,237.9705783419,45.2539797122714,460.264783250894,74.6840659114847,248.576886813618,187.030652920287,103.242110543828,292.219722650775,81.5770816493729,123.156563579791,135.57212953781,15.9761013605083,248.919687415375,542.317343832241,262.609967640636,144.788930229068,217.751662557066,129.830595400024,176.813135387984,231.995241276572,1081.963209436,334.036685094975,38.5183471009494,109.524108460003,110.287773042475,20.6469381559302,23.545240065468,124.159139214738,40.0951539515515,92.1666834593464,132.489137167821,78.7638521887753,32.0032301941215,78.8471689229571,104.608128641471,44.0166046313167,201.773338950942,229.051998755514,388.967864329885,511.432258289132,41.7646723796708,195.894691648719,204.483177297826,66.4842319760199,361.624244573321,73.5655319538984,19.277955545599,437.231532095906,184.058772793566,219.042343439844,105.135179707598,123.579396104299,140.478462502097,103.923812732675,225.101066442213
