mirna,Patient_1,Control_10,Control_11,Patient_13,Patient_14,Patient_15,Patient_16,Patient_17,Patient_18,Patient_2,Control_20,Control_21,Control_22,Patient_25,Patient_26,Patient_27,Patient_28,Patient_29,Patient_3,Patient_30,Control_31,Control_33,Control_34,Control_35,Patient_37,Patient_38,Patient_39,Patient_4,Patient_40,Patient_41,Patient_42,Patient_43,Control_44,Control_45,Control_46,Control_47,Control_49,Patient_5,Control_50,Patient_6,Control_7,Control_9
hsa-miR-1229-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1238-3p,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-1244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
hsa-miR-1246,14,5,120,1,30,12,24,50,36,38,15,27,6,10,13,18,21,43,27,8,110,124,1,4,0,0,5,12,7,2,6,8,0,0,6,1,2,12,0,73,17,152
hsa-miR-1247-5p,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1249-3p,5,1,2,0,0,9,2,1,0,0,0,0,0,4,0,2,0,1,1,0,0,0,0,0,13,0,0,1,0,0,7,1,0,0,0,0,0,1,0,0,0,0
hsa-miR-1250-5p,5,0,0,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,14
hsa-miR-1254,6,0,0,0,0,0,1,0,1,15,3,2,0,0,0,6,0,1,2,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0,4,0,4,0,1
hsa-miR-1255a,7,0,4,0,3,1,1,4,0,35,0,0,0,6,0,5,8,1,9,3,0,0,0,0,0,0,0,23,6,0,1,0,0,0,0,0,0,9,0,0,0,0
hsa-miR-1255b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-125a-3p,1,0,0,0,1,4,0,0,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0
hsa-miR-125a-5p,606,7,49,513,153,72,96,43,81,621,2,16,5,48,38,24,11,110,220,61,78,37,1,1,25,1,36,557,17,6,16,0,18,3,0,5,0,293,0,150,17,6
hsa-miR-125b-1-3p,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
hsa-miR-125b-2-3p,0,0,0,0,3,0,6,4,0,4,0,0,0,0,0,1,1,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0
hsa-miR-125b-5p,46,1,42,51,56,6,40,7,23,68,4,7,5,10,13,21,16,44,47,17,135,50,2,4,1,2,11,37,4,4,7,1,1,0,0,0,2,36,0,42,3,30
hsa-miR-1260a,37,1,1,4,4,6,13,4,1,26,0,6,0,2,4,6,2,4,8,2,11,0,0,0,5,0,9,16,10,4,7,0,0,1,0,1,0,15,0,33,1,3
hsa-miR-1260b,51,4,6,5,13,7,9,37,9,58,3,5,0,11,7,14,0,5,17,6,18,0,0,0,8,1,17,19,5,10,32,2,0,3,0,0,0,56,0,37,0,2
hsa-miR-126-3p,27998,249,1040,16028,4005,2193,2056,1634,3032,28746,149,711,122,1213,1832,2260,562,2389,7958,1520,2180,2495,39,84,154,43,748,35282,406,113,682,307,191,83,27,14,34,25710,32,3323,356,2075
hsa-miR-126-5p,797,4,47,635,134,96,64,92,135,1069,7,38,2,55,83,102,41,127,337,68,49,130,1,3,6,5,33,2129,26,15,26,29,2,6,2,6,0,1261,2,107,8,7
hsa-miR-1268a,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1268b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1270,4,0,0,0,1,3,4,0,1,8,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,3,0
hsa-miR-1271-5p,10,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,5,1,0,0,0,0,0,6,0,0,0,0
hsa-miR-1273a,13,1,5,6,4,7,6,0,3,15,1,2,4,0,0,4,1,11,10,6,19,8,1,0,3,0,4,3,6,2,4,0,0,0,0,4,4,10,0,5,4,2
hsa-miR-1273c,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,11,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,17
hsa-miR-1273d,6,0,0,24,10,0,1,1,0,5,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0
hsa-miR-1273e,5,0,0,0,1,0,0,5,2,5,0,1,1,2,1,5,0,4,2,1,34,0,0,1,4,0,0,3,0,0,0,0,0,0,0,1,0,3,3,2,0,0
hsa-miR-1273f,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0
hsa-miR-1273g-3p,0,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
hsa-miR-1273g-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
hsa-miR-1273h-3p,143,5,1,73,50,36,62,23,39,277,7,5,3,20,38,13,1,57,173,51,46,12,0,0,9,0,9,183,4,11,23,5,2,6,0,2,0,174,0,70,7,5
hsa-miR-1273h-5p,65,1,2,24,18,6,17,3,8,112,2,0,3,11,8,9,3,12,85,3,6,7,0,1,0,0,8,45,23,0,45,0,0,1,1,1,0,58,0,17,0,8
hsa-miR-127-3p,1080,94,68,1471,888,1752,519,593,948,9541,49,113,33,290,1040,543,133,463,3031,555,195,242,6,7,50,13,237,3358,396,40,1124,88,64,30,6,6,7,8329,22,141,401,265
hsa-miR-1275,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-127-5p,9,0,0,11,0,3,2,2,0,13,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0
hsa-miR-1277-3p,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-1277-5p,0,0,0,1,1,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0
hsa-miR-1278,4,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,1,6,0,7,8,0,2,0,0,0,16,0,0,0,0,0,0,0,1,0,3,0,0,0,0
hsa-miR-128-3p,3751,214,453,6569,1588,1558,1358,1218,1590,12253,41,388,58,1073,1104,1562,691,1605,3109,1340,1562,1580,32,71,124,8,579,10857,417,51,562,167,89,63,57,20,40,4903,23,1434,174,520
hsa-miR-1284,5,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,2,5,4,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0
hsa-miR-1285-3p,8,1,4,7,4,5,3,1,4,14,1,1,0,3,1,8,12,5,8,3,9,23,0,3,0,0,0,13,0,0,1,0,2,0,3,0,0,14,0,3,0,1
hsa-miR-1285-5p,2,4,1,0,0,0,2,0,0,4,0,3,0,1,0,6,0,2,5,3,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,3
hsa-miR-1287-5p,9,0,2,6,6,0,9,1,0,5,1,1,0,1,1,3,4,0,3,2,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0
hsa-miR-1288-3p,5,0,2,0,9,0,1,0,0,4,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,5,0,1,1,0
hsa-miR-1290,3,15,57,2,12,7,10,17,14,3,2,14,10,11,5,20,27,22,13,4,31,31,0,13,0,0,1,0,0,1,1,0,5,0,1,1,3,3,0,35,6,28
hsa-miR-1291,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
hsa-miR-129-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1292-5p,21,1,8,6,4,14,11,1,4,45,4,3,0,4,5,10,2,8,27,5,7,26,1,2,11,0,2,24,0,3,3,1,0,0,2,0,0,26,0,9,3,22
hsa-miR-1294,3,2,4,1,8,3,4,0,1,3,0,2,2,1,0,6,0,15,11,7,4,23,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,1,0,2
hsa-miR-129-5p,0,2,4,0,0,0,0,1,0,1,0,0,1,0,0,4,0,8,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,4
hsa-miR-1296-5p,24,0,0,2,0,1,0,0,0,27,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0
hsa-miR-1298-5p,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1299,4,0,0,0,3,0,1,0,0,2,0,0,1,0,0,0,1,1,0,0,0,8,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,8,0,4,0,0
hsa-miR-1301-3p,166,10,8,156,40,42,44,15,27,363,2,6,3,27,31,23,1,32,116,16,13,31,0,0,3,1,6,221,14,0,20,4,0,0,0,0,0,107,1,29,1,15
hsa-miR-1303,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0
